0,1,538.20
0,2,304.70
0,3,75.50
0,4,75.90
0,5,67.70
0,6,51.40
0,7,56.50
0,8,48.70
0,90,0,69.70
0,1,61.70
0,2,59.80
0,3,47.60
0,4,64.70
0,5,59.80
0,6,44.20
0,7,49.40
0,8,56.10
0,9,55.20
0,10,55.90
0,11,67.90
0,12,55.00
0,13,60.10
0,14,63.60
0,15,76.80
0,16,65.80
0,17,44.10
0,18,41.10
0,19,34.10
0,20,62.50
0,21,58.90
0,22,63.30
0,23,58.10
0,24,63.30
0,25,73.00
0,26,63.00
0,27,55.70
0,28,54.80
0,29,54.00
0,30,64.00
0,31,70.90
0,32,60.30
0,33,67.50
0,34,65.40
0,35,65.80
0,36,62.70
0,37,63.70
0,38,69.70
0,39,59.50
0,40,67.60
0,41,62.40
0,42,61.20
0,43,79.20
0,44,56.70
0,45,68.50
0,46,54.20
0,47,74.80
0,48,70.60
0,49,59.80
0,50,80.40
0,51,77.90
0,52,84.80
0,53,83.20
0,54,101.00
0,55,92.40
0,56,87.20
0,57,77.50
0,58,79.90
0,59,75.40
0,60,88.90
0,61,84.70
0,62,87.20
0,63,75.20
0,64,75.60
0,65,75.80
0,66,61.20
0,67,71.30
0,68,70.80
0,69,75.50
0,70,75.00
0,71,68.60
0,72,70.90
0,73,67.10
0,74,65.00
0,75,67.20
0,76,73.60
0,77,67.30
0,78,68.80
0,79,77.50
0,80,104.60
0,81,308.50
0,82,432.20
0,83,439.10
0,84,457.10
0,85,467.00
0,86,478.90
0,87,493.40
0,88,509.20
0,89,560.20
1,89,521.20
1,0,565.00
1,1,499.70
1,2,82.60
1,3,98.20
1,4,73.20
1,5,54.00
1,6,48.20
1,7,46.80
1,8,50.00
1,9,56.20
1,10,51.70
1,11,47.20
1,12,67.70
1,13,56.10
1,14,57.10
1,15,69.80
1,16,69.70
1,17,54.50
1,18,29.60
1,19,55.10
1,20,50.30
1,21,38.60
1,22,62.30
1,23,69.80
1,24,54.10
1,25,72.30
